id,neighbourhood_cleansed,room_type,property_type,accommodates,bedrooms,bathrooms,beds,amenities_count,price,availability_365,review_scores_rating,number_of_reviews,reviews_per_month,host_is_superhost,instant_bookable,high_price_listing
1101344184281863102,ΑΝΩ ΠΑΤΗΣΙΑ,Entire home/apt,Entire condo,2,1.0,1.0,1.0,24,36.0,253,4.92,78,4.17,1.0,1,0
1107235290027890660,ΝΕΟΣ ΚΟΣΜΟΣ,Entire home/apt,Entire rental unit,2,1.0,1.0,1.0,36,36.0,305,4.77,71,3.82,0.0,1,0
1111715135254507165,ΑΝΩ ΚΥΨΕΛΗ,Entire home/apt,Entire rental unit,2,1.0,1.0,1.0,42,36.0,234,5.0,6,0.38,0.0,0,0
1120999904811623314,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,Entire home/apt,Entire rental unit,2,1.0,1.0,1.0,17,36.0,348,4.58,65,3.89,0.0,1,0
1133183072648791104,ΝΕΟΣ ΚΟΣΜΟΣ,Entire home/apt,Entire rental unit,3,1.0,1.0,1.0,21,36.0,249,1.0,1,0.07,0.0,1,0
1148249899225863736,ΙΛΙΣΙΑ,Entire home/apt,Entire condo,2,1.0,1.0,1.0,40,36.0,174,4.82,17,1.04,0.0,0,0
1159847799896715413,ΛΥΚΑΒΗΤΤΟΣ,Entire home/apt,Entire rental unit,2,1.0,1.0,1.0,4,36.0,234,4.79,43,2.69,1.0,0,0
1165243879289716892,ΠΛΑΤΕΙΑ ΑΜΕΡΙΚΗΣ,Entire home/apt,Entire rental unit,3,1.0,1.0,1.0,15,36.0,87,4.7,10,0.9,0.0,0,0
1168021827383018622,ΠΑΤΗΣΙΑ,Entire home/apt,Entire rental unit,2,1.0,1.0,1.0,46,36.0,358,4.95,19,1.2,1.0,1,0
1168521785145197373,ΠΑΓΚΡΑΤΙ,Entire home/apt,Entire rental unit,3,1.0,1.0,1.0,34,36.0,254,4.93,29,1.84,1.0,1,0
1173182440500784202,ΝΕΟΣ ΚΟΣΜΟΣ,Entire home/apt,Entire rental unit,2,1.0,1.0,1.0,24,36.0,106,4.61,36,2.35,0.0,1,0
1174646806770323250,ΠΕΤΡΑΛΩΝΑ,Entire home/apt,Entire rental unit,3,1.0,1.0,1.0,4,36.0,280,2.5,4,0.3,0.0,1,0
1192538910195128019,ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ,Entire home/apt,Entire rental unit,2,1.0,1.0,1.0,4,36.0,360,1.0,1,0.07,0.0,1,0
1194316967533803012,ΝΙΡΒΑΝΑ,Entire home/apt,Entire condo,3,1.0,1.0,1.0,39,36.0,256,4.92,12,0.92,0.0,0,0
1199018764264584586,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,Entire home/apt,Entire rental unit,2,1.0,1.0,1.0,11,36.0,254,4.39,66,4.65,0.0,1,0
1199454615558204308,ΝΙΡΒΑΝΑ,Entire home/apt,Entire rental unit,4,1.0,1.0,3.0,36,36.0,254,4.93,15,1.53,1.0,0,0
1201963187515867774,ΠΛΑΤΕΙΑ ΑΜΕΡΙΚΗΣ,Entire home/apt,Entire condo,4,1.0,1.0,2.0,41,36.0,343,4.85,47,3.4,1.0,1,0
1234157046756696489,ΑΝΩ ΚΥΨΕΛΗ,Entire home/apt,Entire rental unit,2,1.0,1.0,1.0,29,36.0,351,4.75,8,0.66,1.0,1,0
1238966219174882521,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ,Entire home/apt,Entire condo,2,1.0,1.0,1.0,6,36.0,300,4.86,21,2.81,0.0,1,0
1241976306945086858,ΠΛΑΤΕΙΑ ΑΤΤΙΚΗΣ,Entire home/apt,Entire condo,3,1.0,1.0,2.0,50,36.0,179,4.67,30,2.36,0.0,0,0
1252693300315760770,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ,Entire home/apt,Entire rental unit,2,1.0,1.0,1.0,44,36.0,333,5.0,7,0.6,1.0,1,0
1264910611932299878,ΠΑΓΚΡΑΤΙ,Entire home/apt,Entire rental unit,2,1.0,1.0,1.0,34,36.0,313,4.74,46,4.17,1.0,0,0
1266779960083008199,ΚΥΨΕΛΗ,Entire home/apt,Entire condo,3,1.0,1.0,2.0,37,36.0,265,4.77,30,2.69,1.0,1,0
1267979407193001764,ΚΕΡΑΜΕΙΚΟΣ,Entire home/apt,Entire rental unit,2,1.0,1.0,1.0,13,36.0,347,4.58,24,3.91,0.0,1,0
1269327415833015922,ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ,Entire home/apt,Entire rental unit,2,1.0,1.0,1.0,27,36.0,349,3.67,9,0.82,0.0,1,0
1292565171445289773,ΝΙΡΒΑΝΑ,Entire home/apt,Entire condo,3,0.0,1.0,3.0,14,36.0,314,5.0,3,0.85,0.0,0,0
1304416576210488748,ΝΕΟΣ ΚΟΣΜΟΣ,Entire home/apt,Entire rental unit,4,2.0,1.0,2.0,5,36.0,166,4.67,3,3.0,0.0,1,0
1310263552993062820,ΠΛΑΤΕΙΑ ΑΤΤΙΚΗΣ,Entire home/apt,Entire condo,2,1.0,1.0,1.0,37,36.0,74,4.79,19,2.58,0.0,0,0
1310801456575143660,ΠΛΑΤΕΙΑ ΑΤΤΙΚΗΣ,Entire home/apt,Entire rental unit,4,2.0,1.0,2.0,13,36.0,313,5.0,2,0.65,0.0,0,0
